target_icd,rank,prs_icd,auc
J45,10,F33,0.5230535208269842
J84,1,J84,0.539291000006316
J84,2,E66,0.5275791285757506
J84,3,M19,0.5233477521506669
J84,4,M51,0.5221881960791405
J84,5,D51,0.5220583623181357
J84,6,F10,0.5216798496288326
J84,7,F32,0.5214347177625331
J84,8,M05,0.5211695788958042
J84,9,G43,0.5208472904878215
J84,10,M50,0.5207383147955335
K35,1,K35,0.560955403789704
K35,2,K74,0.5334150652717614
K35,3,K70,0.52524242287004
K35,4,I27,0.5245658986700699
K35,5,L57,0.5219391515769395
K35,6,K76,0.5215702749643649
K35,7,E04,0.5201357210805982
K35,8,I48,0.5198267643315407
K35,9,S52,0.5195523925132327
K35,10,S42,0.5191092571791235
K40,1,K40,0.5823760672816408
K40,2,K43,0.5485905789250627
K40,3,K42,0.5431000064059004
K40,4,K57,0.5302611293807635
K40,5,I80,0.5295581827452236
K40,6,N81,0.527998808943089
K40,7,F41,0.5253183225412967
K40,8,O03,0.5245407368570062
K40,9,K44,0.5241411148365652
K40,10,I83,0.5227525003025556
K42,1,K42,0.5789485842218896
K42,2,K43,0.5615958280028306
K42,3,E66,0.5418243650180017
K42,4,E11,0.5253007521223719
K42,5,M19,0.5235700631468019
K42,6,M17,0.5226123579274052
K42,7,S82,0.5220571219699691
K42,8,M50,0.5210106781296527
K42,9,O26,0.5205058341720291
K42,10,I10,0.5201168368240202
K43,1,K43,0.5655702886776169
K43,2,E66,0.5568059827544583
K43,3,K42,0.5539867071576451
K43,4,M19,0.5375335403119482
K43,5,M17,0.536503396648276
K43,6,K40,0.5350474539867982
K43,7,M51,0.5308845017105374
K43,8,K57,0.5305523375307013
K43,9,E11,0.5289152881771085
K43,10,I71,0.5284653444222727
K44,1,K44,0.5515771610599441
K44,2,E66,0.5292464154474005
K44,3,F32,0.5259423740346226
K44,4,K57,0.5253493721150675
K44,5,M19,0.525216323575238
K44,6,M47,0.5216832532451996
K44,7,M51,0.5210314232273405
K44,8,M17,0.5205721283012962
K44,9,N81,0.5200486231124872
K44,10,F33,0.5195850244181031
K50,1,K51,0.5916214326856195
K50,2,K50,0.5866714278035031
K50,3,L40,0.5406554582121796
K50,4,I50,0.5276119191700923
K50,5,I69,0.5264242228463542
K50,6,E66,0.5232785359300618
K50,7,F41,0.5203798765081191
K50,8,K60,0.5199119283206816
K50,9,K43,0.5198775658860912
K50,10,O03,0.5194307553110968
K51,1,K51,0.5893889086425315
K51,2,K50,0.5430169445504767
K51,3,L40,0.5220488464499116
K51,4,M05,0.5205155178326927
K51,5,M32,0.5190605472471119
K51,6,E04,0.5187098638715787
K51,7,M16,0.5160407739747231
K51,8,J35,0.5157111747579963
K51,9,M06,0.5154283799580317
K51,10,F32,0.514968520713675
K57,1,K57,0.574424967859583
K57,2,E66,0.5178845565670617
K57,3,K43,0.5155452729512788
K57,4,K44,0.515445407713759
K57,5,I10,0.5151420406718262
K57,6,N81,0.5137111631975376
K57,7,K40,0.5119379994774227
K57,8,I71,0.5117513052141178
K57,9,E11,0.5117081176868121
K57,10,M51,0.5108463727285929
K60,1,K60,0.5386324736522671
K60,2,K50,0.5242799850713961
K60,3,K44,0.5220446062299868
K60,4,F41,0.5196306560304982
K60,5,L40,0.51781317215019
K60,6,N41,0.5177930881598265
K60,7,D03,0.515935749907267
K60,8,I48,0.5159068041742965
K60,9,J35,0.5154272875878525
K60,10,F32,0.5146670140524098
K70,1,F10,0.5737095555355607
K70,2,K70,0.5685630613804591
K70,3,K76,0.5681323230323161
K70,4,K74,0.5660814200673044
K70,5,F60,0.5422289961634932
K70,6,E11,0.5364902431724253
K70,7,F17,0.5317551497321662
K70,8,S82,0.5311959787205256
K70,9,I42,0.5310272950841114
K70,10,I50,0.5296408882230841
K74,1,K76,0.5653438067548708
K74,2,K70,0.5622979943344483
K74,3,E66,0.5608577193150035
K74,4,K74,0.5583402966297201
K74,5,E11,0.5550428903420199
K74,6,I10,0.5417090263406374
K74,7,F10,0.5398578869764282
K74,8,I71,0.5369540013536283
K74,9,I50,0.5332712000992097
K74,10,M51,0.531217949457317
K75,1,K76,0.5751388257840051
K75,2,K74,0.5621678245377685
K75,3,E11,0.559912262648825
K75,4,E66,0.5555668155655952
K75,5,K70,0.5529083422885502
K75,6,I10,0.5398796995954194
K75,7,I71,0.5372955093568964
K75,8,I20,0.5289560906145102
K75,9,I25,0.5277918430992093
K75,10,I50,0.5275481571177305
K76,1,E11,0.5427501129018452
K76,2,E66,0.5405544565664072
K76,3,K76,0.5403471983932269
K76,4,K74,0.5342184302359424
K76,5,I10,0.5308989181087661
K76,6,K70,0.5283373461271288
K76,7,M51,0.526730431816337
K76,8,I71,0.5260918533887531
K76,9,M47,0.5254062808730998
K76,10,M50,0.5232016481034977
K80,1,K80,0.5494493133394984
K80,2,E66,0.5423324041111326
K80,3,K81,0.5376428566814894
K80,4,E11,0.5349622351473842
K80,5,I10,0.5280455895794606
K80,6,I71,0.524741442534266
K80,7,K57,0.5210041694538377
K80,8,I50,0.5197203333572152
K80,9,I70,0.5191971519812089
K80,10,M51,0.5179920914010415
K81,1,E66,0.539849890043422
K81,2,K80,0.539564479248849
K81,3,K81,0.5372733790123647
K81,4,E11,0.5360415304288197
K81,5,I10,0.5323564348645715
K81,6,I50,0.5300495801145086
K81,7,M19,0.5269964511561027
K81,8,K57,0.5269886556398827
K81,9,M17,0.5255593811887039
K81,10,I71,0.5255290338906722
L40,1,L40,0.585490483325477
L40,2,E66,0.5190746292117814
L40,3,E03,0.5187736921339476
L40,4,E78,0.5178337030095145
L40,5,M06,0.5161594015748183
L40,6,E11,0.516122006977842
L40,7,G56,0.5155875287977743
L40,8,M51,0.5153298933084235
L40,9,M81,0.5153190142159104
L40,10,M47,0.5152052370420438
L57,1,L57,0.5494399360100825
L57,2,C44,0.5454951909356078
L57,3,D04,0.5357911334680796
L57,4,D03,0.5124153800949641
L57,5,D25,0.5084773090439213
L57,6,N62,0.507091334765336
L57,7,H33,0.5063950074930036
L57,8,M41,0.5055534392568684
L57,9,D32,0.5053444151442928
L57,10,M05,0.5046942349516785
L97,1,E66,0.5874499879521119
L97,2,E11,0.5774945166979264
L97,3,I10,0.5557370464551391
L97,4,M17,0.5546460164922464
L97,5,I71,0.5511985852028006
L97,6,I50,0.5491295735683484
L97,7,I70,0.5481547741030882
L97,8,M51,0.5419048896505219
L97,9,G56,0.53803544311905
L97,10,L97,0.5364224648243059
M05,1,M05,0.5962998789873445
M05,2,M06,0.5705997007202637
M05,3,E16,0.5421668915558341
M05,4,E03,0.5391047467754695
M05,5,M32,0.5389610351421797
M05,6,D51,0.5360664271486554
M05,7,E10,0.5314527438603974
M05,8,M16,0.5312846936418876
M05,9,K75,0.5312167743855934
M05,10,J84,0.5309213031032312
M06,1,M05,0.5430337015626139
M06,2,M06,0.5338845201920002
M06,3,M17,0.5335640719015635
M06,4,M19,0.5328234173177315
M06,5,M47,0.5322368830903214
M06,6,M51,0.5286770912495016
M06,7,E66,0.5266326790325637
M06,8,G43,0.5263914672768808
M06,9,E03,0.5250593031579257
M06,10,F32,0.5249538202299546
M10,1,M10,0.6094346863528729
M10,2,I10,0.5579054788593235
M10,3,E66,0.5516767143209099
M10,4,I71,0.5491764010922009
M10,5,E11,0.547791675990016
M10,6,I70,0.5404868118375499
M10,7,I25,0.53604563186127
M10,8,M17,0.5357566203066612
M10,9,I20,0.5334587614175329
M10,10,E78,0.5331965249229509
M16,1,M16,0.556612588151855
M16,2,M17,0.5362656088514952
M16,3,M19,0.525780759461102
M16,4,M51,0.525348695846893
M16,5,M47,0.5244686136720911
