target_icd,rank,prs_icd,auc
G35,1,G35,0.5737768290298046
G35,2,L40,0.5186454894302713
G35,3,I10,0.5178087326165713
G35,4,M32,0.517237910171269
G35,5,D51,0.5168843467536814
G35,6,F60,0.5161238983481474
G35,7,K57,0.5160682169712725
G35,8,J33,0.5158133952812676
G35,9,O03,0.5152865334363971
G35,10,M51,0.5145738980034913
G43,1,G43,0.5688227344838077
G43,2,M51,0.5325845644061544
G43,3,F32,0.5321208148756114
G43,4,F33,0.5299012408618585
G43,5,F41,0.5297131217897771
G43,6,M50,0.5271323309032024
G43,7,M47,0.5203148991171027
G43,8,I71,0.5196081182263941
G43,9,I10,0.5173321537985662
G43,10,J35,0.5171347895017739
G47,1,E66,0.5595317833683906
G47,2,I10,0.542706972820129
G47,3,E11,0.5375735581169886
G47,4,M17,0.535664140056938
G47,5,F33,0.531446290984189
G47,6,I71,0.5298957288523695
G47,7,M19,0.5298374934607926
G47,8,M51,0.5288247538858031
G47,9,M47,0.5282789982468714
G47,10,M50,0.5277342537481605
G56,1,G56,0.5875867926188594
G56,2,M19,0.5429871854915401
G56,3,M17,0.5412994764777117
G56,4,E66,0.5347393641142684
G56,5,M47,0.5333102089268482
G56,6,M51,0.5286582866309635
G56,7,M16,0.5239914127761578
G56,8,M50,0.523825328107468
G56,9,E11,0.5199489648709562
G56,10,I10,0.5158526835645761
G58,1,M47,0.5534173354220616
G58,2,M51,0.5501097184556798
G58,3,F32,0.5460770513020083
G58,4,M50,0.5380006871411827
G58,5,F33,0.5374317506108784
G58,6,M19,0.5372052298495119
G58,7,F60,0.5338957011139325
G58,8,M17,0.5336599068646767
G58,9,M96,0.5308316472664218
G58,10,F10,0.5308094622898585
H33,1,H33,0.567860522469713
H33,2,K44,0.5115220475619257
H33,3,I69,0.5085387426441674
H33,4,K42,0.5069999347037732
H33,5,E06,0.5067525470594513
H33,6,H40,0.5066629783471102
H33,7,M10,0.5062203413068478
H33,8,E04,0.5059663830447793
H33,9,M06,0.5058955872014569
H33,10,M05,0.5056304598857184
H40,1,H40,0.6090603271746915
H40,2,I72,0.5207306978748065
H40,3,I70,0.5176732776228247
H40,4,I71,0.5143324776899364
H40,5,E11,0.5142391192989908
H40,6,N20,0.512003707727697
