prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Bottom 10%,65-70,8587,166,0.019331547688366136,D17
Bottom 10%,70-75,224,0,0,D17
Middle 10%,35-40,1,0,0,D17
Middle 10%,40-45,3652,76,0.0208105147864184,D17
Middle 10%,45-50,4843,115,0.023745612223828205,D17
Middle 10%,50-55,5905,127,0.021507197290431837,D17
Middle 10%,55-60,7462,200,0.02680246582685607,D17
Middle 10%,60-65,10498,265,0.025242903410173368,D17
Middle 10%,65-70,8629,224,0.02595897554757214,D17
Middle 10%,70-75,223,7,0.03139013452914798,D17
Top 10%,40-45,3673,96,0.02613667301933025,D17
Top 10%,45-50,4974,135,0.027141133896260553,D17
Top 10%,50-55,5942,203,0.03416358128576237,D17
Top 10%,55-60,7428,247,0.03325255788906839,D17
Top 10%,60-65,10627,327,0.03077067846052508,D17
Top 10%,65-70,8345,245,0.029358897543439184,D17
Top 10%,70-75,225,4,0.017777777777777778,D17
Bottom 10%,35-40,2,0,0,D18
Bottom 10%,40-45,3973,22,0.0055373772967530835,D18
Bottom 10%,45-50,5170,29,0.005609284332688588,D18
Bottom 10%,50-55,6189,33,0.005332040717401842,D18
Bottom 10%,55-60,7204,63,0.008745141588006662,D18
Bottom 10%,60-65,10228,93,0.009092686742276104,D18
Bottom 10%,65-70,8241,82,0.009950248756218905,D18
Bottom 10%,70-75,208,0,0,D18
Middle 10%,35-40,1,0,0,D18
Middle 10%,40-45,3602,16,0.004441976679622432,D18
Middle 10%,45-50,4889,36,0.0073634690120679075,D18
Middle 10%,50-55,5880,42,0.007142857142857143,D18
Middle 10%,55-60,7445,66,0.008865010073875084,D18
Middle 10%,60-65,10576,73,0.006902420574886535,D18
Middle 10%,65-70,8596,73,0.00849232201023732,D18
Middle 10%,70-75,224,1,0.004464285714285714,D18
Top 10%,35-40,1,0,0,D18
Top 10%,40-45,3584,16,0.004464285714285714,D18
Top 10%,45-50,4824,34,0.007048092868988391,D18
Top 10%,50-55,5770,40,0.006932409012131715,D18
Top 10%,55-60,7448,60,0.008055853920515575,D18
Top 10%,60-65,10777,95,0.008815069128700009,D18
Top 10%,65-70,8564,66,0.0077066791219056515,D18
Top 10%,70-75,246,1,0.0040650406504065045,D18
Bottom 10%,35-40,1,0,0,D21
Bottom 10%,40-45,3448,4,0.001160092807424594,D21
Bottom 10%,45-50,4727,6,0.0012693039983075946,D21
Bottom 10%,50-55,5750,17,0.002956521739130435,D21
Bottom 10%,55-60,7467,15,0.002008838891120932,D21
Bottom 10%,60-65,10931,22,0.0020126246455036134,D21
Bottom 10%,65-70,8643,12,0.0013884068031933356,D21
Bottom 10%,70-75,247,0,0,D21
