target_icd,rank,prs_icd,auc,method
G56,3,M79,0.5344503007225606,LDpred2
G56,4,E66,0.5329977502984792,LDpred2
G56,5,M19,0.5313784558323923,LDpred2
G56,6,M47,0.5304354218421787,LDpred2
G56,7,M50,0.5281133417563987,LDpred2
G56,8,M51,0.5277243250308857,LDpred2
G56,9,M17,0.5274999010982493,LDpred2
G56,10,M77,0.5245988936014644,LDpred2
G58,1,M79,0.5352412676322196,LDpred2
G58,2,G56,0.533948626658154,LDpred2
G58,3,M17,0.5338052362204265,LDpred2
G58,4,M51,0.533608261349275,LDpred2
G58,5,G54,0.5328490755032246,LDpred2
G58,6,N10,0.5317389197475672,LDpred2
G58,7,F32,0.5307925854202353,lassosum2
G58,8,M19,0.5307437811719401,LDpred2
G58,9,M75,0.529485952880638,LDpred2
G58,10,M50,0.5292380681569618,LDpred2
H33,1,H33,0.5539155908680323,LDpred2
H33,2,I31,0.5212018104521269,lassosum2
H33,3,C34,0.5211690225966282,lassosum2
H33,4,K40,0.5206029625495793,C+T
H33,5,G54,0.5195885521039251,lassosum2
H33,6,K06,0.518800605621365,lassosum2
H33,7,D70,0.5187936141249928,lassosum2
H33,8,E83,0.5184641427390618,LDpred2
H33,9,M99,0.5180129349357301,LDpred2
H33,10,J43,0.5177521996211929,lassosum2
H40,1,H40,0.5778039599405932,LDpred2
H40,2,H34,0.5146034529279759,LDpred2
H40,3,H52,0.5127085361361968,LDpred2
H40,4,E11,0.5120861589735941,lassosum2
H40,5,J30,0.5117301868227494,LDpred2
H40,6,H10,0.5116123350301774,LDpred2
H40,7,I15,0.5112743146842716,lassosum2
H40,8,O24,0.5109808889870511,C+T
H40,9,N97,0.5101930700539292,LDpred2
H40,10,J00,0.5100913414060391,LDpred2
I10,1,I10,0.6074588198893428,LDpred2
I10,2,I11,0.5667303086899336,LDpred2
I10,3,I71,0.5624417789773438,LDpred2
I10,4,E66,0.5611069498398477,LDpred2
I10,5,E11,0.5586792952523123,LDpred2
I10,6,O13,0.5532139957132188,LDpred2
I10,7,I48,0.5436953178381778,lassosum2
I10,8,I25,0.5435124920537552,LDpred2
I10,9,I50,0.5429270337158426,LDpred2
I10,10,I20,0.5426029802979274,LDpred2
I12,1,I10,0.5649078535658009,LDpred2
I12,2,E11,0.5625120194637524,LDpred2
I12,3,E66,0.5588233918331055,LDpred2
I12,4,I71,0.5490022503681916,LDpred2
I12,5,I11,0.5440494340151601,LDpred2
I12,6,N18,0.5400500252871104,LDpred2
I12,7,I50,0.5396387949529047,LDpred2
I12,8,M17,0.5374835877517237,LDpred2
I12,9,I70,0.5341498468455796,LDpred2
I12,10,I25,0.533883476855941,LDpred2
I20,1,I25,0.5602159589684527,LDpred2
I20,2,I20,0.5576658770209973,LDpred2
I20,3,I21,0.5523433282662017,LDpred2
I20,4,I10,0.5501448419574206,LDpred2
I20,5,M79,0.5418198632402783,LDpred2
I20,6,I71,0.5391373986917102,LDpred2
I20,7,E11,0.5382941496393114,LDpred2
I20,8,M75,0.5363907353534489,LDpred2
I20,9,E66,0.5348933626666886,LDpred2
I20,10,I11,0.5343085814609779,LDpred2
I21,1,I25,0.5780708834710532,LDpred2
I21,2,I21,0.5744904817815332,LDpred2
I21,3,I20,0.5730430099692092,LDpred2
I21,4,I10,0.5626297675492329,LDpred2
I21,5,I71,0.5570147980163143,LDpred2
I21,6,E11,0.5526476854628755,LDpred2
I21,7,E66,0.5499986689895437,LDpred2
I21,8,I70,0.5483041851619517,LDpred2
I21,9,E78,0.5452907024271063,LDpred2
I21,10,M79,0.5389708348785545,LDpred2
I25,1,I25,0.58252114673203,LDpred2
I25,2,I20,0.5791617765693453,LDpred2
I25,3,I21,0.575193215014081,LDpred2
