target_icd,rank,prs_icd,auc,method
I10,2,I11,0.5626091569371087,LDpred2
I10,3,I71,0.5565215643251045,LDpred2
I10,4,O13,0.547921892101683,LDpred2
I10,5,E11,0.5453256843758508,LDpred2
I10,6,I48,0.5418877700344726,LDpred2
I10,7,I20,0.5408992279456756,LDpred2
I10,8,I25,0.5408298657964136,LDpred2
I10,9,E66,0.5398984595222418,LDpred2
I10,10,I50,0.5350574096871386,LDpred2
I12,1,I10,0.5562027180515796,LDpred2
I12,2,I11,0.5470369502093945,LDpred2
I12,3,E11,0.5450844149359739,LDpred2
I12,4,I25,0.537823009694136,LDpred2
I12,5,I21,0.5352263342411685,LDpred2
I12,6,I71,0.5337322568688599,LDpred2
I12,7,I20,0.5335982645636278,LDpred2
I12,8,I48,0.5329569683498531,lassosum2
I12,9,I70,0.5283920970958826,LDpred2
I12,10,N19,0.5282361789818535,LDpred2
I20,1,I25,0.5894639420737375,LDpred2
I20,2,I20,0.5876621950733019,LDpred2
I20,3,I21,0.5817036505479029,LDpred2
I20,4,I10,0.5646752058358938,LDpred2
I20,5,I71,0.5602565551972949,LDpred2
I20,6,E78,0.5557764636734508,LDpred2
I20,7,I70,0.547831085236102,LDpred2
I20,8,E11,0.5436145829020522,LDpred2
I20,9,M79,0.5406635220595267,LDpred2
I20,10,I46,0.5375791802997335,LDpred2
I21,1,I25,0.6020642033278062,LDpred2
I21,2,I21,0.5977327998317563,LDpred2
I21,3,I20,0.5971108200268305,LDpred2
I21,4,I71,0.5597950904194129,LDpred2
I21,5,I10,0.559789375972439,LDpred2
I21,6,E78,0.5594305291379202,LDpred2
I21,7,I70,0.5481420406082289,LDpred2
I21,8,I46,0.5399670600232317,LDpred2
I21,9,E11,0.5388035990467037,LDpred2
I21,10,I72,0.5341294303993199,LDpred2
I25,1,I25,0.5931187634821443,LDpred2
I25,2,I20,0.5901308706204424,LDpred2
I25,3,I21,0.5853727490750339,LDpred2
I25,4,I10,0.5644365379973646,LDpred2
I25,5,I71,0.5615104881645437,LDpred2
I25,6,E78,0.5547287218278028,LDpred2
I25,7,I70,0.5482428724753119,LDpred2
I25,8,E11,0.5418347184255152,LDpred2
I25,9,E66,0.537623520229056,LDpred2
I25,10,I46,0.5369600888758095,LDpred2
I26,1,I26,0.6026174955874999,LDpred2
I26,2,I82,0.5977816789129814,LDpred2
I26,3,I80,0.5934266724517864,LDpred2
I26,4,I63,0.5302952470569866,LDpred2
I26,5,E66,0.5286745080019662,LDpred2
I26,6,I71,0.5257155662128083,LDpred2
I26,7,K80,0.523782727488849,LDpred2
I26,8,M79,0.5225590421392878,lassosum2
I26,9,M17,0.52109076131138,LDpred2
I26,10,I83,0.5205056144759915,LDpred2
I27,1,J15,0.543038608298778,LDpred2
I27,2,I71,0.5429505082890137,LDpred2
I27,3,E66,0.540327898184746,LDpred2
I27,4,I50,0.5397481045083398,LDpred2
I27,5,I10,0.5383696942324608,LDpred2
I27,6,M17,0.5361006028345582,LDpred2
I27,7,I70,0.5360701254339487,LDpred2
I27,8,I48,0.535610724008569,LDpred2
I27,9,A41,0.5320356015202985,LDpred2
I27,10,I11,0.5319667690187617,LDpred2
I42,1,I10,0.5520874885425916,LDpred2
I42,2,I50,0.5435445347772315,LDpred2
I42,3,I49,0.5361314253133268,LDpred2
I42,4,I42,0.535981427009079,LDpred2
I42,5,I48,0.5358977969293526,lassosum2
I42,6,I11,0.5347062706758963,LDpred2
I42,7,I47,0.5312951199360415,LDpred2
I42,8,I71,0.530018969444397,LDpred2
I42,9,O13,0.5282465888290656,LDpred2
I42,10,E66,0.5259369920728054,LDpred2
I48,1,I48,0.6100002518676315,LDpred2
I48,2,I49,0.5663934966231972,lassosum2
I48,3,I50,0.5539756060945933,LDpred2
I48,4,I42,0.5485137692148052,LDpred2
I48,5,I47,0.5424002132147167,LDpred2
I48,6,I71,0.5396319995546744,LDpred2
I48,7,I10,0.5396247300689037,LDpred2
I48,8,I11,0.5364237216432808,LDpred2
I48,9,K35,0.5306801362741398,lassosum2
I48,10,I44,0.5303034751417257,LDpred2
I50,1,I10,0.5600414259426888,LDpred2
I50,2,I50,0.5554264712588998,LDpred2
I50,3,I71,0.5539300520614784,LDpred2
I50,4,I48,0.5527362535223773,LDpred2
I50,5,E66,0.5481906251610681,LDpred2
I50,6,I25,0.5470224254552527,LDpred2
I50,7,I11,0.5447549894087248,LDpred2
I50,8,I20,0.5445205575346374,LDpred2
I50,9,I21,0.5426231424807513,LDpred2
I50,10,E11,0.541849994042361,LDpred2
I63,1,I10,0.546889008204062,LDpred2
I63,2,I63,0.5459108858464833,LDpred2
I63,3,I48,0.5393950669056842,LDpred2
I63,4,I71,0.5390156752772657,LDpred2
I63,5,I69,0.5366481796126056,LDpred2
I63,6,I21,0.5318676472804593,LDpred2
I63,7,I25,0.5314610546558931,LDpred2
I63,8,I11,0.5303539807976605,LDpred2
I63,9,I20,0.5287419053250294,LDpred2
I63,10,G45,0.5274985795467866,LDpred2
I69,1,I10,0.5544273893119439,LDpred2
I69,2,I71,0.5460375433100529,LDpred2
I69,3,I69,0.5417113320212088,LDpred2
I69,4,I48,0.5415611086589106,LDpred2
I69,5,I63,0.5405525759453413,LDpred2
I69,6,M79,0.5356851183307176,LDpred2
I69,7,I11,0.5318015061753453,LDpred2
I69,8,J01,0.5305309567648542,LDpred2
I69,9,G44,0.5301492346196444,LDpred2
I69,10,E11,0.5281897191618371,LDpred2
I70,1,I71,0.5732762687818228,LDpred2
I70,2,I70,0.5689707616571251,LDpred2
I70,3,I20,0.5624869178965215,LDpred2
I70,4,I25,0.5606044359246403,LDpred2
I70,5,I10,0.5574260607856436,LDpred2
I70,6,I21,0.5527841153045406,LDpred2
I70,7,E78,0.5519795264766879,LDpred2
I70,8,E11,0.5428713650210132,LDpred2
I70,9,I48,0.5426295106309732,LDpred2
I70,10,M79,0.5402793148905864,LDpred2
I71,1,I71,0.5577115873441844,LDpred2
I71,2,I10,0.5522629994903976,LDpred2
I71,3,I48,0.5351650548304636,LDpred2
I71,4,G43,0.5346405725178972,LDpred2
I71,5,I67,0.5339489524988101,LDpred2
I71,6,N91,0.5307907654795181,LDpred2
I71,7,F33,0.5302617821890719,LDpred2
I71,8,H46,0.5293827816101634,C+T
I71,9,E78,0.5292302653255797,LDpred2
I71,10,I11,0.5287121951451427,LDpred2
I72,1,I71,0.5408069264031817,LDpred2
I72,2,I10,0.5370048564617458,LDpred2
I72,3,G43,0.5361932928011256,LDpred2
I72,4,I63,0.5349944072649924,lassosum2
I72,5,I60,0.5335742415088984,lassosum2
I72,6,I49,0.5324968816304553,LDpred2
I72,7,I47,0.5308622976424975,LDpred2
I72,8,O03,0.5302567844166303,C+T
I72,9,M71,0.5295531989343186,lassosum2
I72,10,I48,0.5292602385007791,lassosum2
I80,1,I26,0.5920992857438373,LDpred2
I80,2,I80,0.5910546210400781,LDpred2
I80,3,I82,0.5908835652058149,LDpred2
I80,4,I87,0.540170871539398,LDpred2
I80,5,I83,0.5398819097589137,LDpred2
I80,6,M79,0.5265118118053396,LDpred2
I80,7,E66,0.5232338539141458,LDpred2
I80,8,M17,0.5225924683192295,LDpred2
I80,9,I71,0.5225402538310457,lassosum2
I80,10,I48,0.5225231013104273,LDpred2
I83,1,I83,0.6320784220002761,LDpred2
I83,2,I87,0.6095628250786346,LDpred2
I83,3,I80,0.5244883812955761,LDpred2
I83,4,M17,0.5214182628914282,LDpred2
I83,5,M79,0.5168953542718505,LDpred2
I83,6,I48,0.5160856381443677,LDpred2
I83,7,I82,0.514180391118722,LDpred2
I83,8,N30,0.5124095361591482,LDpred2
I83,9,K43,0.512348830914568,LDpred2
I83,10,I86,0.5120821834624079,LDpred2
I87,1,I83,0.5524282635017458,LDpred2
I87,2,I87,0.548078306718028,LDpred2
I87,3,A41,0.5404930955008743,LDpred2
I87,4,M79,0.5344457750981207,lassosum2
I87,5,A49,0.5343049485066648,LDpred2
I87,6,M19,0.5329232143781768,LDpred2
I87,7,N10,0.5326871500630377,LDpred2
I87,8,I48,0.5316253726834853,LDpred2
I87,9,M17,0.531558412739074,LDpred2
I87,10,L08,0.5301962100731704,LDpred2
J33,1,J33,0.6360694571112839,LDpred2
J33,2,J32,0.5968449440008438,lassosum2
J33,3,J45,0.5696061387687404,lassosum2
J33,4,J30,0.5576015110811768,lassosum2
J33,5,J01,0.5397509617735141,lassosum2
J33,6,L20,0.5351343319994343,lassosum2
J33,7,L30,0.528086741045901,LDpred2
J33,8,J40,0.5277734940369276,lassosum2
J33,9,J34,0.5254159043635891,LDpred2
J33,10,L43,0.5245911306460801,LDpred2
J35,1,J35,0.5568965093792007,LDpred2
J35,2,E11,0.5330950404656841,LDpred2
J35,3,M16,0.5322985529578834,LDpred2
J35,4,G47,0.531402437601902,LDpred2
J35,5,F33,0.5292538198221045,LDpred2
J35,6,N92,0.5289360057574283,LDpred2
J35,7,K80,0.5274346005627916,lassosum2
J35,8,D22,0.5271924604772212,LDpred2
J35,9,D62,0.5267770520875251,LDpred2
J35,10,L91,0.5266212834673942,LDpred2
J40,1,M51,0.5459614678582307,LDpred2
J40,2,J45,0.5440001621731836,LDpred2
J40,3,M47,0.5421578829538074,LDpred2
J40,4,F39,0.5400966565939278,LDpred2
J40,5,F32,0.5400847867789156,LDpred2
J40,6,F10,0.5387527638910267,LDpred2
J40,7,M50,0.538191139799583,LDpred2
J40,8,M79,0.5374549252246267,LDpred2
J40,9,J15,0.5370185918745131,LDpred2
J40,10,E66,0.5369831745741779,LDpred2
J42,1,M47,0.56250447807743,LDpred2
J42,2,M23,0.5593767981674267,LDpred2
J42,3,I71,0.5579781668707939,LDpred2
J42,4,G54,0.5521586606162331,LDpred2
J42,5,M79,0.5504179715715177,LDpred2
J42,6,M17,0.5491672379065871,LDpred2
J42,7,M51,0.5483474367206279,LDpred2
J42,8,G56,0.5468587509199765,LDpred2
J42,9,G44,0.54659398642152,LDpred2
J42,10,K58,0.5461066498517966,LDpred2
J43,1,F10,0.5590367496607991,LDpred2
J43,2,J44,0.5583056416347988,LDpred2
J43,3,F17,0.5528734196213477,LDpred2
J43,4,J43,0.5483294520018417,LDpred2
J43,5,J15,0.5477445645613619,LDpred2
J43,6,C34,0.5465320042845258,LDpred2
J43,7,F32,0.5459723860598774,LDpred2
J43,8,F39,0.5446089426188415,LDpred2
J43,9,M79,0.5443827457974529,LDpred2
J43,10,W19,0.5407861939466838,LDpred2
J44,1,J44,0.5549393242397109,LDpred2
J44,2,M79,0.5452513465938991,LDpred2
J44,3,F10,0.5441807819303083,LDpred2
J44,4,M51,0.5419425860309038,LDpred2
J44,5,F17,0.5415781395555074,LDpred2
J44,6,E66,0.5388349238857647,LDpred2
J44,7,F32,0.5386205969803043,LDpred2
J44,8,F39,0.5380774955287992,LDpred2
J44,9,J45,0.5374120755636626,LDpred2
J44,10,I71,0.535642849536017,LDpred2
J45,1,J45,0.5660619280843228,LDpred2
J45,2,J33,0.5508014069888639,LDpred2
J45,3,J30,0.5492711255556123,LDpred2
J45,4,J32,0.5443634934240514,LDpred2
J45,5,L20,0.5427861463329835,LDpred2
J45,6,H10,0.5359518463062397,LDpred2
J45,7,J01,0.5249846655939405,LDpred2
J45,8,L30,0.5245595695434893,LDpred2
J45,9,J20,0.5241126935052205,LDpred2
J45,10,M79,0.5241061613933328,LDpred2
J84,1,J84,0.5602519438327906,LDpred2
J84,2,I50,0.5357729605944869,LDpred2
J84,3,L82,0.5311290119419143,lassosum2
J84,4,N10,0.530576667600871,LDpred2
J84,5,F10,0.5290620241700569,LDpred2
J84,6,I70,0.5273284318161315,LDpred2
J84,7,I71,0.5272475622841553,LDpred2
J84,8,F32,0.5267518443609581,LDpred2
J84,9,J06,0.5262246874496415,lassosum2
J84,10,M23,0.5259986277911174,LDpred2
