icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
J33,1247,0.6206816014305075,0.6333027131207628,0.6372064454448462,0.6356107703739923,0.5898571315331292,0.6360694571112839,Nasal polyp
K70,1380,0.6029066613206074,0.6072808979959908,0.612398407045269,0.612435663664767,0.4543564406403834,0.588444062212912,Alcoholic liver disease
H20,951,0.4937823565478144,0.4885327877463052,0.4957212100819001,0.4954572322691475,0.5140095143273775,0.5306598075865696,Iridocyclitis
G81,1261,0.522428312453407,0.5399957766911665,0.5339952234473483,0.5338426835289602,0.4937110051785305,0.540505826783228,Hemiplegia and hemiparesis
I27,4991,0.5539557079734717,0.5537790369559334,0.5552452763829244,0.5550566784639703,0.5111611069155736,0.543038608298778,Other pulmonary heart diseases
L84,5036,0.5151247082534686,0.5006026647077367,0.5056017401558998,0.5056017401558998,0.4968579625047357,0.5481498044715596,Corns and callosities
I72,1775,0.5434540441567733,0.5434501133236166,0.5581034829433673,0.5581034829433673,0.5137892726120811,0.5408069264031817,Other aneurysm
I70,7704,0.5761413012018751,0.5870291724381427,0.5901855158306594,0.5904309495648745,0.4649752644254727,0.5732762687818228,Atherosclerosis
E10,2697,0.6065681791382475,0.6183170680414509,0.6041748961711884,0.6050389428399953,0.5339208559560871,0.5939807082818638,Type 1 diabetes mellitus
L81,18659,0.5300394777910094,0.521052668331183,0.5334946985294111,0.5337004515466898,0.5096061171495896,0.528792745639277,Other disorders of pigmentation
M45,628,0.5140552397761285,0.5325925028116304,0.5354723513817202,0.5360068004093911,0.5096600880185308,0.5367337117013291,Ankylosing spondylitis
J93,1664,0.5079385979779746,0.5070624880896829,0.5238390884006577,0.5229225797408649,0.4823046941731182,0.5286639568486909,Pneumothorax and air leak
K55,1492,0.5201669555714514,0.5256768309327529,0.5254330329052639,0.5256106658707307,0.5117087230040301,0.5290022958683067,Vascular disorders of intestine
M71,4987,0.5214255033260925,0.5205179838053744,0.5352993755923753,0.5348911598956436,0.5313038082856525,0.5468654104559888,Other bursopathies
D36,3108,0.5135057368223901,0.5050415660193515,0.5122551755746717,0.5114078221133906,0.4894788155567258,0.5415549587439545,Benign neoplasm of other and unspecified sites
I51,10575,0.5544106760059682,0.5489849163968803,0.564324826359714,0.5641902323533531,0.5180803525271422,0.5503055933469677,Complications and ill-defined descriptions of heart disease
B07,7732,0.5197402502453399,0.5110620513366418,0.5176924587939985,0.5177081500427104,0.4987471802737315,0.5243586506239802,Viral warts
O48,1084,0.5067348421118208,0.5190212821363075,0.5187873233685809,0.5179417233018719,0.4754487822453064,0.5586265656000354,Late pregnancy
N94,8384,0.5267710968091182,0.5123417108310931,0.5299490444886918,0.5322815747573785,0.4918289240786329,0.5328155869051141,Pain and oth cond assoc w fem gntl org and menstrual cycle
H00,3891,0.5256892385433779,0.5410357986154445,0.5284921318066313,0.5284921318066313,0.4913284217254686,0.5512468219677249,Hordeolum and chalazion
H65,4844,0.5219419289265338,0.5206587290489926,0.527125077757456,0.5268459829575911,0.5026154095714996,0.5540015287586939,Nonsuppurative otitis media
J30,26740,0.5551492508240196,0.546338667815829,0.5531996013572015,0.5531996013572015,0.5054062245225582,0.5500837886878981,Vasomotor and allergic rhinitis
G56,11902,0.5867354392811227,0.5860326802095764,0.5896027181108731,0.5902206657442298,0.5399476009073572,0.5875867926188594,Mononeuropathies of upper limb
E23,1316,0.5012883112751122,0.5062420608655691,0.5000780208532173,0.4996173954944426,0.4867160572130036,0.5334951666554864,Hypofunction and other disorders of the pituitary gland
I62,719,0.5090403036940709,0.497082472447576,0.496404763897847,0.4955296314131962,0.5204826214951724,0.5411960267148584,Other and unspecified nontraumatic intracranial hemorrhage
L82,28066,0.5415654166907307,0.5308042379953232,0.546026480307696,0.5460889427869128,0.5214971510857966,0.5499942403872979,Seborrheic keratosis
H02,10967,0.5060714105334067,0.5092415095716513,0.5091715119468857,0.5079819257871566,0.5079921278300413,0.5262265935324035,Other disorders of eyelid
I69,2216,0.5543890973869886,0.5543352939035845,0.5597484250438418,0.5562565316771948,0.5514747636893508,0.5544273893119439,Sequelae of cerebrovascular disease
K72,1139,0.5326612785806081,0.5364267734800992,0.5493545817546717,0.5476809207759378,0.494926378041323,0.5462501488388122,"Hepatic failure, not elsewhere classified"
K63,19929,0.5421185823348765,0.5045310602942917,0.5530785715963326,0.5521220516054348,0.5272685289052492,0.5541489068147413,Other diseases of intestine
E21,3217,0.5572660724726057,0.5768665360247982,0.5717856550405215,0.5725261969664104,0.5490483714934966,0.5699370890028302,Hyperparathyroidism and other disorders of parathyroid gland
F02,862,0.5497261791214518,0.5307626036152285,0.4976623288757292,0.5295425275040894,0.5037162792307476,0.6026609935418618,Dementia in other diseases classified elsewhere
G44,8965,0.5493762533843587,0.5539936060463821,0.5586069171317963,0.5580459581423761,0.4960172024204781,0.5467721008530133,Other headache syndromes
K90,3588,0.5267744098330165,0.528031303925528,0.5364822807521014,0.5372412247000495,0.4892325453090079,0.565972463460327,Intestinal malabsorption
H53,15886,0.5217891152713308,0.4941256307307186,0.5289586187161028,0.5284872038737032,0.5194391237418744,0.5246767208291826,Visual disturbances
N61,1244,0.5029073959797942,0.5136458981381649,0.5131806048181237,0.5128328634469099,0.5166996392563878,0.5461753070527247,Inflammatory disorders of breast
F41,47216,0.5510349523638302,0.5416092945802063,0.5530528948590966,0.5531288517415204,0.5405653652295561,0.5461470650298627,Other anxiety disorders
E05,3107,0.5697257817761001,0.5795552098765878,0.5767970554824323,0.5768567950169531,0.5382946763781467,0.5738350716624943,Thyrotoxicosis [hyperthyroidism]
