icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
M50,8639,0.565362417627624,0.5582872850338585,0.5721897934966997,0.5716646409217531,0.5498414057423588,0.5616929754335271,Cervical disc disorders
I83,6560,0.629230648085879,0.6235838884911683,0.6332754829914559,0.633368594397813,0.6176744492401951,0.6320784220002761,Varicose veins of lower extremities
E04,10642,0.6274311982869144,0.6204737150059454,0.6312917640012984,0.633297089739233,0.6066789260670041,0.6311607290769836,Other nontoxic goiter
F60,2191,0.5770540457145936,0.571413557094367,0.5880373763181455,0.5898064834940486,0.5814509216528074,0.581507042632867,Specific personality disorders
E11,25805,0.6423592651386963,0.6314823919685613,0.6431185832849622,0.6431185832849622,0.6028663699377281,0.6395743046925597,Type 2 diabetes mellitus
O26,3302,0.5821986789141256,0.5204314251812073,0.4314611598726117,0.4201448754287951,0.5288416231433054,0.6368445466794866,Maternal care for oth conditions predom related to pregnancy
D05,2117,0.5570903316542187,0.5528684694978047,0.5605411867542944,0.5623338317523733,0.5434200327201757,0.5612201469666739,Carcinoma in situ of breast
K76,16616,0.5596951348251765,0.5529006261097887,0.5633062198554141,0.5633062198554141,0.4708961875337278,0.5452600203192729,Other diseases of liver
I10,67148,0.6059771754897326,0.6054700335428986,0.6063092056539657,0.6061792695871411,0.5677659067280069,0.6036411484440909,Essential (primary) hypertension
K60,1755,0.5234531598582841,0.5052599994846746,0.5514296412686931,0.5504965573390581,0.5608189363127658,0.5753438421151988,Fissure and fistula of anal and rectal regions
D03,1156,0.5410364059596783,0.5588939420988948,0.5601169474999298,0.5592443491001285,0.5048427647568092,0.5584202731116974,Melanoma in situ
H33,2461,0.548770857978833,0.5587732501609574,0.5518727038177802,0.5507239672085293,0.5515188470871256,0.567860522469713,Retinal detachments and breaks
I50,11441,0.5760804397591796,0.5836886686197985,0.5783987719382199,0.5782787904296853,0.4714858943569786,0.5600414259426888,Heart failure
K40,4915,0.5871451497398299,0.5812201868300393,0.5964147989890128,0.5965386736498968,0.5496398349500476,0.5964147989890128,Inguinal hernia
I21,4678,0.6049622930882993,0.606462783330339,0.6097323618541606,0.6089666859380805,0.574030135683789,0.6020642033278062,Acute myocardial infarction
M41,5299,0.5466203799770838,0.5397205531824193,0.5563765956544415,0.5560623286345401,0.5155033665947513,0.5464904225091872,Scoliosis
G35,1764,0.5650749433310199,0.569037521768864,0.5650537773571916,0.5650537773571916,0.5674948217974065,0.5737768290298046,Multiple sclerosis
C34,1742,0.550280241033644,0.552623921099184,0.552860928042396,0.5536721940678215,0.5365503012162124,0.5506177719642134,Malignant neoplasm of bronchus and lung
D25,4759,0.5678149028078465,0.5765561351178063,0.5701811808065058,0.5692287396171904,0.5034984881117235,0.5733261981344377,Leiomyoma of uterus
K74,3026,0.5877252272285657,0.5920401287509899,0.5914199922589889,0.5912400012082625,0.5579078551150494,0.5723923524949681,Fibrosis and cirrhosis of liver
M96,2166,0.5629939069501151,0.5719106408914842,0.5672503179763309,0.5670027986204309,0.5064597616937888,0.5635176289123983,"Intraop and postproc comp and disorders of ms sys, NEC"
F32,38883,0.5587686614526687,0.5562673567325702,0.5598421004265087,0.5597641884708799,0.5470721133870604,0.5521111239707753,Depressive episode
I80,1973,0.5876501877411368,0.5949585367733513,0.5997543761104984,0.600261634129944,0.5721481189270468,0.5920992857438373,Phlebitis and thrombophlebitis
M19,35618,0.5568687426760209,0.5532755107203452,0.5599766530642896,0.5599766530642896,0.5216144413320878,0.547877988232531,Other and unspecified osteoarthritis
S82,4849,0.550986526854174,0.5441825090120145,0.5548533914628926,0.5551290458736431,0.4748659253870814,0.5443249150818824,"Fracture of lower leg, including ankle"
